Names	DMSO	TUNIC	TUNICISRIB	ISRIB	Class
IMP3_HUMAN	0	0	0.000675676	0.000410509	Down-Up-Up
PLEC_HUMAN	0.185939612	0.22655575	0.052728226	0.165125975	Up-Down-Down
FIBB_HUMAN	0.177894697	0.192828862	0.118837725	0.11907071	Up-Down-Down
NUCL_HUMAN	0.145984678	0.200981844	0.138557125	0.14344276	Up-Down-Down
HNRPM_HUMAN	0.102154875	0.10503927	0.066880637	0.062707179	Up-Down-Down
LPPRC_HUMAN	0.070749587	0.078279594	0.041344639	0.061647552	Up-Down-Down
MYH9_HUMAN	0.070087126	0.083382528	0.023843192	0.069910329	Up-Down-Down
AHNK_HUMAN	0.062103801	0.08603732	0.012286967	0.039427468	Up-Down-Down
HNRPC_HUMAN	0.060362776	0.08097558	0.038061723	0.058151811	Up-Down-Down
FUBP2_HUMAN	0.06021406	0.081836906	0.039130304	0.042559524	Up-Down-Down
HNRPR_HUMAN	0.052297581	0.061224309	0.033034552	0.044572301	Up-Down-Down
YBOX1_HUMAN	0.049514796	0.066073611	0.0359943	0.03775272	Up-Down-Down
ROA2_HUMAN	0.046650143	0.053938441	0.026979195	0.040176006	Up-Down-Down
HNRPF_HUMAN	0.045876521	0.055372056	0.029303664	0.031224343	Up-Down-Down
RS2_HUMAN	0.044261679	0.057489965	0.034103132	0.040837952	Up-Down-Down
HNRPQ_HUMAN	0.043904912	0.061011871	0.035696858	0.033025452	Up-Down-Down
ROA1_HUMAN	0.042171399	0.061047278	0.025154147	0.030092236	Up-Down-Down
SFPQ_HUMAN	0.042007661	0.053826434	0.025275335	0.02356386	Up-Down-Down
HNRPU_HUMAN	0.039782935	0.058386698	0.032817901	0.038335129	Up-Down-Down
