master_protein	cells	treatment	rep
Q8WTT2	MCF10A	CL	1
Q02413	MCF10A	CL	1
P18124	MCF10A	CL	1
Q15059	MCF10A	CL	1
Q92688	MCF10A	CL	1
P09874	MCF10A	CL	1
P28799	MCF10A	CL	1
P26196	MCF10A	CL	1
Q96IZ0	MCF10A	CL	1
P23497	MCF10A	CL	1
P06733	MCF10A	CL	1
P23526	MCF10A	CL	1
P27635	MCF10A	CL	1
P11021	MCF10A	CL	1
O43795	MCF10A	CL	1
O75494	MCF10A	CL	1
Q92541	MCF10A	CL	1
Q5JTH9	MCF10A	CL	1
Q96E39	MCF10A	CL	1
Q14574	MCF10A	CL	1
Q15061	MCF10A	CL	1
O95793	MCF10A	CL	1
Q14137	MCF10A	CL	1
Q14974	MCF10A	CL	1
P07195	MCF10A	CL	1
P55795	MCF10A	CL	1
P26006	MCF10A	CL	1
Q5QJE6	MCF10A	CL	1
Q9H6T0	MCF10A	CL	1
Q16719	MCF10A	CL	1
Q14258	MCF10A	CL	1
Q8WXH0	MCF10A	CL	1
P52948	MCF10A	CL	1
O95361	MCF10A	CL	1
O60885	MCF10A	CL	1
Q14789	MCF10A	CL	1
P78527	MCF10A	CL	1
Q8N137	MCF10A	CL	1
O43143	MCF10A	CL	1
P63167	MCF10A	CL	1
Q9Y4L1	MCF10A	CL	1
P18564	MCF10A	CL	1
O00429	MCF10A	CL	1
Q99729	MCF10A	CL	1
P31431	MCF10A	CL	1
P98179	MCF10A	CL	1
Q16831	MCF10A	CL	1
Q08378	MCF10A	CL	1
Q86VP6	MCF10A	CL	1
P60842	MCF10A	CL	1
O14602	MCF10A	CL	1
P06756	MCF10A	CL	1
O43719	MCF10A	CL	1
Q8TEW0	MCF10A	CL	1
Q86UE4	MCF10A	CL	1
P30153	MCF10A	CL	1
Q96HC4	MCF10A	CL	1
Q53EL6	MCF10A	CL	1
P41250	MCF10A	CL	1
P52597	MCF10A	CL	1
Q9BVP2	MCF10A	CL	1
Q15084	MCF10A	CL	1
O43175	MCF10A	CL	1
P62701	MCF10A	CL	1
P31153	MCF10A	CL	1
P20645	MCF10A	CL	1
Q9Y6M5	MCF10A	CL	1
Q13243	MCF10A	CL	1
Q9NZM1	MCF10A	CL	1
O43290	MCF10A	CL	1
P14868	MCF10A	CL	1
P28072	MCF10A	CL	1
Q9H4F8	MCF10A	CL	1
O60884	MCF10A	CL	1
O95232	MCF10A	CL	1
Q9Y3I0	MCF10A	CL	1
Q9Y3C1	MCF10A	CL	1
O75376	MCF10A	CL	1
Q9UQ80	MCF10A	CL	1
P54727	MCF10A	CL	1
Q08379	MCF10A	CL	1
Q9NR12	MCF10A	CL	1
Q92900	MCF10A	CL	1
P23396	MCF10A	CL	1
P27695	MCF10A	CL	1
Q8NAV1	MCF10A	CL	1
P61221	MCF10A	CL	1
Q8NE71	MCF10A	CL	1
